strategy,a,n,profit,gas_used,detected,detection_risk,alpha,delta,gas_price,victim_balance,logfile,uuid
uniform,20,5,80,150000,False,96,5e+17,5e+17,177.0,10000000.0,uniform_00285a5d-c456-464e-8051-956cd0baecf0.json,00285a5d-c456-464e-8051-956cd0baecf0
greedy,100,1,100,30000,False,1,0.3775,0.1325,177.0,10000.0,greedy_42bc8ce5-a4d1-42bd-878d-96c950407b2c.json,42bc8ce5-a4d1-42bd-878d-96c950407b2c
uniform,20,5,80,150000,False,90,3.775e+17,1.325e+17,1.0,10000.0,uniform_e3c413c0-e01f-4e73-b899-e0ae0fda0f22.json,e3c413c0-e01f-4e73-b899-e0ae0fda0f22
greedy,100,1,100,30000,False,1,,,,,greedy_2551cf89-3bd1-45cf-89d2-4f524ae2de11.json,2551cf89-3bd1-45cf-89d2-4f524ae2de11
greedy,100,1,100,30000,False,50,5e+17,2.55e+17,1.0,10000.0,greedy_92c3f94a-f47d-4f76-9b45-7878c1815181.json,92c3f94a-f47d-4f76-9b45-7878c1815181
optimized,100,1,0,30000,False,50,5e+17,1.325e+17,5.0,100000.0,optimized_d3ab3175-3fbc-482d-b664-ebb51485503a.json,d3ab3175-3fbc-482d-b664-ebb51485503a
optimized,100,1,200,30000,False,50,5e+17,1.325e+17,177.0,10000000.0,optimized_d2f1e7fe-4266-4c14-b7ab-2f41636e977d.json,d2f1e7fe-4266-4c14-b7ab-2f41636e977d
uniform,20,5,80,150000,False,96,5e+17,2.55e+17,1.0,10000.0,uniform_92c3f94a-f47d-4f76-9b45-7878c1815181.json,92c3f94a-f47d-4f76-9b45-7878c1815181
uniform,20,5,80,150000,False,90,3.775e+17,5e+17,5.0,1000000.0,uniform_98e3bd87-4c60-49bb-811b-f25fbf191efb.json,98e3bd87-4c60-49bb-811b-f25fbf191efb
optimized,100,1,200,30000,False,1,0.01,0.255,5.0,1000000.0,optimized_f1b49981-3797-41ab-8f9e-b64f3686a4fd.json,f1b49981-3797-41ab-8f9e-b64f3686a4fd
uniform,20,5,80,150000,False,90,3.775e+17,1e+16,31.0,1000.0,uniform_76b0fba4-31bf-41ab-b053-7538bd758c0d.json,76b0fba4-31bf-41ab-b053-7538bd758c0d
optimized,100,1,200,30000,False,1,,,,,optimized_589c6012-6605-49c9-9513-e46cfd7e7d5b.json,589c6012-6605-49c9-9513-e46cfd7e7d5b
uniform,20,5,80,150000,False,4,0.1325,0.5,5.0,1000000.0,uniform_a1e8979d-13d0-4e12-8908-e285c4711626.json,a1e8979d-13d0-4e12-8908-e285c4711626
greedy,100,1,100,30000,False,1,,,,,greedy_b9ac3a45-b642-4e17-a8bc-ab96640beef9.json,b9ac3a45-b642-4e17-a8bc-ab96640beef9
greedy,100,1,100,30000,False,1,,,,,greedy_66565bf9-19f4-4570-bd7c-f1d21af92a59.json,66565bf9-19f4-4570-bd7c-f1d21af92a59
uniform,20,5,80,150000,False,4,,,,,uniform_b07a9d0a-ecb4-48a9-aa7e-c8e083ead76c.json,b07a9d0a-ecb4-48a9-aa7e-c8e083ead76c
optimized,100,1,200,30000,False,1,0.3775,0.3775,1000.0,1000.0,optimized_932b9459-9539-4e91-9ea9-66a1413547b1.json,932b9459-9539-4e91-9ea9-66a1413547b1
uniform,20,5,80,150000,False,4,0.01,0.01,1.0,1000.0,uniform_18e85235-6b6e-4f47-aa51-c13e69500a05.json,18e85235-6b6e-4f47-aa51-c13e69500a05
greedy,100,1,100,30000,False,1,,,,,greedy_a683d2c9-d633-44eb-85c4-1aa455abc966.json,a683d2c9-d633-44eb-85c4-1aa455abc966
greedy,100,1,100,30000,False,1,,,,,greedy_34104f9c-cee0-485b-be87-6ca62293b003.json,34104f9c-cee0-485b-be87-6ca62293b003
greedy,100,1,100,30000,False,37,3.775e+17,3.775e+17,177.0,10000.0,greedy_b9be6577-07e6-47d6-9ea2-22e34b651b5c.json,b9be6577-07e6-47d6-9ea2-22e34b651b5c
greedy,100,1,100,30000,False,25,2.55e+17,1.325e+17,5.0,100000.0,greedy_3f5ac705-12cf-4d73-8ce3-eb0a14e0d808.json,3f5ac705-12cf-4d73-8ce3-eb0a14e0d808
uniform,20,5,80,150000,False,4,1e+16,2.55e+17,177.0,1000000.0,uniform_05befa26-fd82-4f18-aa81-3c685a1bf673.json,05befa26-fd82-4f18-aa81-3c685a1bf673
optimized,100,1,200,30000,False,1,,,,,optimized_5c7fe82c-0773-47d4-bc6a-bfabf37db28d.json,5c7fe82c-0773-47d4-bc6a-bfabf37db28d
greedy,100,1,100,30000,False,37,3.775e+17,1.325e+17,1.0,10000000.0,greedy_95f1eac4-8c98-4790-a029-2b7a86e5afb8.json,95f1eac4-8c98-4790-a029-2b7a86e5afb8
uniform,20,5,80,150000,False,50,1.325e+17,1.325e+17,31.0,1000.0,uniform_2f6d419d-ff00-4e80-af30-e8b6c23bd07d.json,2f6d419d-ff00-4e80-af30-e8b6c23bd07d
optimized,100,1,200,30000,False,50,5e+17,2.55e+17,1.0,10000000.0,optimized_f661f82e-855d-4818-a164-e41c02e27769.json,f661f82e-855d-4818-a164-e41c02e27769
optimized,100,1,200,30000,False,1,,,,,optimized_d26e5844-8c52-41b2-8b59-f75089d33d31.json,d26e5844-8c52-41b2-8b59-f75089d33d31
optimized,100,1,200,30000,False,1,1e+16,1e+16,1000.0,10000000.0,optimized_d1ef4aa4-a9d6-46c0-93f2-53485209d40a.json,d1ef4aa4-a9d6-46c0-93f2-53485209d40a
optimized,100,1,200,30000,False,1,,,,,optimized_de8a50d9-6b2f-476a-8dc3-9c92494e447a.json,de8a50d9-6b2f-476a-8dc3-9c92494e447a
optimized,100,1,200,30000,False,1,,,,,optimized_aee60804-95bf-4f09-863d-9066d8167ce4.json,aee60804-95bf-4f09-863d-9066d8167ce4
uniform,20,5,80,150000,False,4,0.255,0.01,1.0,10000.0,uniform_414835c4-085b-4bec-8ed9-13947d2dcc25.json,414835c4-085b-4bec-8ed9-13947d2dcc25
greedy,100,1,0,30000,False,50,5e+17,1.325e+17,31.0,10000.0,greedy_33e47e32-d383-4ad4-9705-c0daab69d4dc.json,33e47e32-d383-4ad4-9705-c0daab69d4dc
optimized,100,1,200,30000,False,1,,,,,optimized_08922ef2-2e08-4138-a098-ed8484843b11.json,08922ef2-2e08-4138-a098-ed8484843b11
greedy,100,1,100,30000,False,50,5e+17,1e+16,1.0,100000.0,greedy_98eec707-91e6-45e6-b730-731e03805c7f.json,98eec707-91e6-45e6-b730-731e03805c7f
uniform,20,5,80,150000,False,4,0.1325,0.3775,31.0,10000.0,uniform_a90322e8-a553-4a9b-8f90-5f144afb57c8.json,a90322e8-a553-4a9b-8f90-5f144afb57c8
greedy,100,1,100,30000,False,1,,,,,greedy_f4f08fbe-5094-40ad-bd03-2b264f4147f9.json,f4f08fbe-5094-40ad-bd03-2b264f4147f9
optimized,100,1,200,30000,False,1,1e+16,1e+16,31.0,1000.0,optimized_c00c664d-d20b-428a-a86d-075ec8515ebd.json,c00c664d-d20b-428a-a86d-075ec8515ebd
uniform,20,5,80,150000,False,4,,,,,uniform_c3f862af-a960-4add-9e30-d37ebe77ab3b.json,c3f862af-a960-4add-9e30-d37ebe77ab3b
